"","loadingscomp2lag1"
"CP-HI01_AT",37.7219258300362
"CP-HI01_BE",23.6175397442572
"CP-HI01_BG",8.60741902810341
"CP-HI01_CY",19.4173968257299
"CP-HI01_CZ",22.3593654043096
"CP-HI01_DE",44.8895678914479
"CP-HI01_DK",15.4878028097424
"CP-HI01_EE",17.6908610740382
"CP-HI01_EL",10.2059810075142
"CP-HI01_ES",7.52400243418228
"CP-HI01_FI",60.0614391640907
"CP-HI01_FR",25.7377729173282
"CP-HI01_HR",10.0728598609776
"CP-HI01_HU",27.9924647462853
"CP-HI01_IE",95.3306322219998
"CP-HI01_IT",15.3225585427745
"CP-HI01_LT",13.7911835867817
"CP-HI01_LU",14.5750656234011
"CP-HI01_LV",13.9641120713096
"CP-HI01_MT",-0.350117925401602
"CP-HI01_NL",22.4392670309287
"CP-HI01_PL",18.1508967833579
"CP-HI01_PT",15.4100757848451
"CP-HI01_RO",18.9160946707697
"CP-HI01_SE",18.978088933434
"CP-HI01_SI",18.0990569875388
"CP-HI01_SK",18.3274759623962
"CP-HI02_AT",1.25353300301952
"CP-HI02_BE",1.96432708897245
"CP-HI02_BG",-17.280766945091
"CP-HI02_CY",22.9423376095145
"CP-HI02_CZ",1.1347561962936
"CP-HI02_DE",8.24807300942324
"CP-HI02_DK",-0.9195921433769
"CP-HI02_EE",4.62149012217023
"CP-HI02_EL",5.72751565604413
"CP-HI02_ES",8.46091773463269
"CP-HI02_FI",-0.631939924425989
"CP-HI02_FR",3.14806491755554
"CP-HI02_HR",-6.0702518052502
"CP-HI02_HU",10.838838293655
"CP-HI02_IE",0.793083788802212
"CP-HI02_IT",8.97141354325964
"CP-HI02_LT",4.46065479679832
"CP-HI02_LU",-3.52268518213905
"CP-HI02_LV",6.08380265076053
"CP-HI02_MT",66.4733975226769
"CP-HI02_NL",-1.4312037361232
"CP-HI02_PL",10.0835246428944
"CP-HI02_PT",4.19677297514565
"CP-HI02_RO",2.31589691946629
"CP-HI02_SE",5.24050348174058
"CP-HI02_SI",1.64195003391886
"CP-HI02_SK",-1.80816819699208
"CP-HI03_AT",4.19085752337402
"CP-HI03_BE",12.71639571898
"CP-HI03_BG",19.8984374595344
"CP-HI03_CY",-0.605207806726384
"CP-HI03_CZ",4.79522297366476
"CP-HI03_DE",7.44720287219066
"CP-HI03_DK",-0.576501152227708
"CP-HI03_EE",15.5056358603273
"CP-HI03_EL",13.437557995659
"CP-HI03_ES",-2.72019791604656
"CP-HI03_FI",-12.5335242111831
"CP-HI03_FR",1.02561246862361
"CP-HI03_HR",7.83993823648467
"CP-HI03_HU",12.9437412904303
"CP-HI03_IE",3.28826734030171
"CP-HI03_IT",4.46670197551438
"CP-HI03_LT",9.41762674313189
"CP-HI03_LU",9.41975295719156
"CP-HI03_LV",-3.93543846288099
"CP-HI03_MT",-3.90817086115517
"CP-HI03_NL",17.6585974636848
"CP-HI03_PL",6.67304801231856
"CP-HI03_PT",3.06323107753373
"CP-HI03_RO",4.51062668079347
"CP-HI03_SE",6.20674656134788
"CP-HI03_SI",6.56955116112019
"CP-HI03_SK",15.7698313479421
"CP-HI04_AT",37.2233613168702
"CP-HI04_BE",-143.316668827303
"CP-HI04_BG",-5.15594643755474
"CP-HI04_CY",-115.968873375011
"CP-HI04_CZ",9.85370001488949
"CP-HI04_DE",-1.12177057303194
"CP-HI04_DK",-31.7022639275446
"CP-HI04_EE",-41.1742257686681
"CP-HI04_EL",-267.548070741483
"CP-HI04_ES",-299.005778274636
"CP-HI04_FI",34.8342457003991
"CP-HI04_FR",-9.49308321576396
"CP-HI04_HR",-36.4673778693106
"CP-HI04_HU",101.592030276732
"CP-HI04_IE",24.2977474968358
"CP-HI04_IT",85.6799212803181
"CP-HI04_LT",47.0171639764954
"CP-HI04_LU",-114.23840521971
"CP-HI04_LV",79.5685489255981
"CP-HI04_MT",-28.5388836045603
"CP-HI04_NL",-68.0487396545417
"CP-HI04_PL",20.9490564007643
"CP-HI04_PT",-45.617666869129
"CP-HI04_RO",-17.9926644847213
