"","loadingscomp2lag2"
"CP-HI01_AT",-19.9387974056903
"CP-HI01_BE",-11.8653352670912
"CP-HI01_BG",-4.55034767024279
"CP-HI01_CY",-9.83612481993173
"CP-HI01_CZ",-11.4395328081235
"CP-HI01_DE",-23.5568923384484
"CP-HI01_DK",-8.08947301512481
"CP-HI01_EE",-9.09146089719931
"CP-HI01_EL",-5.32848889221345
"CP-HI01_ES",-3.93578147271791
"CP-HI01_FI",-30.0934471691562
"CP-HI01_FR",-12.854764367834
"CP-HI01_HR",-5.2724617894978
"CP-HI01_HU",-14.2376123108129
"CP-HI01_IE",-48.0588537478403
"CP-HI01_IT",-7.80231693791005
"CP-HI01_LT",-7.23712341780429
"CP-HI01_LU",-7.29843867436466
"CP-HI01_LV",-7.35307159468268
"CP-HI01_MT",-0.318424933820531
"CP-HI01_NL",-11.318872701176
"CP-HI01_PL",-9.13126972135174
"CP-HI01_PT",-8.12532270341181
"CP-HI01_RO",-9.56623013883797
"CP-HI01_SE",-9.68446685644449
"CP-HI01_SI",-9.2080696110878
"CP-HI01_SK",-9.36645169121353
"CP-HI02_AT",-0.630773326367708
"CP-HI02_BE",-1.00546866281411
"CP-HI02_BG",9.54215083388988
"CP-HI02_CY",-11.1856513381723
"CP-HI02_CZ",-0.498451607777195
"CP-HI02_DE",-4.07252584230802
"CP-HI02_DK",0.453656127804126
"CP-HI02_EE",-2.48454037694017
"CP-HI02_EL",-2.96313273255323
"CP-HI02_ES",-4.16495689528801
"CP-HI02_FI",0.329632412096763
"CP-HI02_FR",-1.3561851615684
"CP-HI02_HR",4.56512199127184
"CP-HI02_HU",-5.34297090525028
"CP-HI02_IE",-0.52053054830178
"CP-HI02_IT",-4.40412183495433
"CP-HI02_LT",-2.30157765086108
"CP-HI02_LU",1.71098616816109
"CP-HI02_LV",-3.01150308934998
"CP-HI02_MT",-37.1163344315318
"CP-HI02_NL",1.06146148011946
"CP-HI02_PL",-4.95360844274265
"CP-HI02_PT",-2.12989890970957
"CP-HI02_RO",-1.07966619616834
"CP-HI02_SE",-2.53118274342989
"CP-HI02_SI",-0.607679121276306
"CP-HI02_SK",0.874970841439705
"CP-HI03_AT",-2.05242069466183
"CP-HI03_BE",-6.41216465033884
"CP-HI03_BG",-10.2282043838949
"CP-HI03_CY",0.428752919449976
"CP-HI03_CZ",-2.65314534662998
"CP-HI03_DE",-3.86994775662969
"CP-HI03_DK",-0.102327647439315
"CP-HI03_EE",-7.74286507322491
"CP-HI03_EL",-6.74317899861038
"CP-HI03_ES",1.25236790623038
"CP-HI03_FI",6.13801617715891
"CP-HI03_FR",-0.588853592510224
"CP-HI03_HR",-4.00246607724366
"CP-HI03_HU",-6.59336112461295
"CP-HI03_IE",-1.7035472872252
"CP-HI03_IT",-2.2475058423499
"CP-HI03_LT",-4.95309353592312
"CP-HI03_LU",-4.55946120934347
"CP-HI03_LV",1.85399251583285
"CP-HI03_MT",1.69895254432286
"CP-HI03_NL",-8.90763411770153
"CP-HI03_PL",-3.37158019422507
"CP-HI03_PT",-1.58300024773133
"CP-HI03_RO",-2.18698017074171
"CP-HI03_SE",-3.11412951752075
"CP-HI03_SI",-3.25799614323643
"CP-HI03_SK",-7.92406275185753
"CP-HI04_AT",-19.6348845353349
"CP-HI04_BE",64.7819608139604
"CP-HI04_BG",0.575643438068457
"CP-HI04_CY",56.6568164583955
"CP-HI04_CZ",-4.85547648525193
"CP-HI04_DE",-1.07422130971478
"CP-HI04_DK",11.0016145607509
"CP-HI04_EE",17.100257089525
"CP-HI04_EL",129.323367552415
"CP-HI04_ES",144.756477156687
"CP-HI04_FI",-20.1303982434112
"CP-HI04_FR",4.4246121276815
"CP-HI04_HR",16.1439664815675
"CP-HI04_HU",-52.7949564590848
"CP-HI04_IE",-15.2460521751072
"CP-HI04_IT",-47.7107016712647
"CP-HI04_LT",-28.0719102523981
"CP-HI04_LU",56.2978298083401
"CP-HI04_LV",-43.8190497645102
"CP-HI04_MT",15.0963115811773
"CP-HI04_NL",29.1605118629124
"CP-HI04_PL",-10.8305167857612
"CP-HI04_PT",18.2615582544627
"CP-HI04_RO",7.81526576529343
"CP-HI04_SE",19.6804714603207
"CP-HI04_SI",21.7417129886057
"CP-HI04_SK",-15.1557300713012
