"","loadingscomp1lag2"
"CP-HI01_AT",-96.976626294973
"CP-HI01_BE",-5.50264156973833
"CP-HI01_BG",-4.58592438816776
"CP-HI01_CY",-3.81815684511448
"CP-HI01_CZ",-7.55308443934958
"CP-HI01_DE",-97.772074806337
"CP-HI01_DK",-4.80987860584385
"CP-HI01_EE",-6.59863308282438
"CP-HI01_EL",-4.30490612642496
"CP-HI01_ES",-5.26751990455542
"CP-HI01_FI",-197.675912902023
"CP-HI01_FR",-5.34465908216057
"CP-HI01_HR",-5.99634702485803
"CP-HI01_HU",-7.33028295974592
"CP-HI01_IE",-422.204129915861
"CP-HI01_IT",-5.43517574277511
"CP-HI01_LT",-7.24846191981575
"CP-HI01_LU",-4.11096367905541
"CP-HI01_LV",-6.87715565700225
"CP-HI01_MT",-54.5182162634738
"CP-HI01_NL",-5.09653062072299
"CP-HI01_PL",-5.74053996086705
"CP-HI01_PT",-8.52416376563506
"CP-HI01_RO",-4.84004682235982
"CP-HI01_SE",-5.80028801797413
"CP-HI01_SI",-6.37117989012025
"CP-HI01_SK",-6.70813989828616
"CP-HI02_AT",-0.848730645811218
"CP-HI02_BE",-0.713239843210166
"CP-HI02_BG",9.71815805620147
"CP-HI02_CY",-3.37882748754241
"CP-HI02_CZ",0.184710512184269
"CP-HI02_DE",-1.20429160908522
"CP-HI02_DK",0.0230462394478791
"CP-HI02_EE",0.17927248159112
"CP-HI02_EL",1.19981733817446
"CP-HI02_ES",-4.82683028000639
"CP-HI02_FI",0.172725209078139
"CP-HI02_FR",0.612154578382315
"CP-HI02_HR",7.29010794192087
"CP-HI02_HU",-1.65459868686892
"CP-HI02_IE",-2.25678276645613
"CP-HI02_IT",0.896728883813238
"CP-HI02_LT",-1.02404266054163
"CP-HI02_LU",-0.644017861809129
"CP-HI02_LV",-1.82466599978399
"CP-HI02_MT",169.872850678294
"CP-HI02_NL",2.28393639841096
"CP-HI02_PL",-2.00027398863436
"CP-HI02_PT",-1.68195081293358
"CP-HI02_RO",-0.554520026764515
"CP-HI02_SE",0.426242040232202
"CP-HI02_SI",-32.5553378864216
"CP-HI02_SK",-2.63580325059487
"CP-HI03_AT",-3.46239280036097
"CP-HI03_BE",-4.14089338629413
"CP-HI03_BG",-10.192625845286
"CP-HI03_CY",-5.9927771588434
"CP-HI03_CZ",-4.58540600051751
"CP-HI03_DE",-4.52772649288492
"CP-HI03_DK",-4.50630103289338
"CP-HI03_EE",-4.70953014143304
"CP-HI03_EL",-6.79488284636899
"CP-HI03_ES",1.2714349146563
"CP-HI03_FI",-8.17472470853886
"CP-HI03_FR",-4.74588629459009
"CP-HI03_HR",-5.64876322540769
"CP-HI03_HU",-5.51698377742763
"CP-HI03_IE",-2.61231767960587
"CP-HI03_IT",-1.39698394639804
"CP-HI03_LT",-4.19856446375976
"CP-HI03_LU",-1.14178237758335
"CP-HI03_LV",-2.24534848694162
"CP-HI03_MT",-2.03478968196515
"CP-HI03_NL",-9.33931056266062
"CP-HI03_PL",-4.4538699171583
"CP-HI03_PT",-3.78738213209474
"CP-HI03_RO",-1.28286823017783
"CP-HI03_SE",-0.756527602353625
"CP-HI03_SI",-3.34323786554353
"CP-HI03_SK",-4.05883799446778
"CP-HI04_AT",-93.4215172100906
"CP-HI04_BE",-5.10043566264947
"CP-HI04_BG",-66.4658006656155
"CP-HI04_CY",-186.444870033656
"CP-HI04_CZ",-3.37608207002738
"CP-HI04_DE",-122.617673325772
"CP-HI04_DK",-93.7864280206938
"CP-HI04_EE",-141.38174033988
"CP-HI04_EL",-214.827162895142
"CP-HI04_ES",-31.956721715483
