"","loadingscomp1lag0"
"CP-HI06_SK",-45.0270340726573
"CP-HI07_AT",-113.784410809667
"CP-HI07_BE",-46.8833209501379
"CP-HI07_BG",-3.97834175833293
"CP-HI07_CY",0.774851165198415
"CP-HI07_CZ",-73.5469558257877
"CP-HI07_DE",-52.6329249279526
"CP-HI07_DK",-3.67850684895254
"CP-HI07_EE",-5.89039388658357
"CP-HI07_EL",-2.94870578314316
"CP-HI07_ES",-102.308890166412
"CP-HI07_FI",-3.46745056983957
"CP-HI07_FR",-2.59779218074911
"CP-HI07_HR",-187.428504191933
"CP-HI07_HU",-139.247184686674
"CP-HI07_IE",-1.86609486374613
"CP-HI07_IT",-3.53115080229142
"CP-HI07_LT",-122.494055080977
"CP-HI07_LU",-93.9258470615944
"CP-HI07_LV",-95.5992349490691
"CP-HI07_MT",-2.96175648286039
"CP-HI07_NL",-0.78708043476175
"CP-HI07_PL",-135.723976024519
"CP-HI07_PT",-2.57610210316259
"CP-HI07_RO",-92.5565203699762
"CP-HI07_SE",-1.9635972139377
"CP-HI07_SI",-225.812935905849
"CP-HI07_SK",-3.9567353492225
"CP-HI08_AT",-19.3174894311628
"CP-HI08_BE",0.58174876422872
"CP-HI08_BG",-277.460655214573
"CP-HI08_CY",-89.7611792859712
"CP-HI08_CZ",-236.585406031881
"CP-HI08_DE",-203.835334740663
"CP-HI08_DK",-255.684108494855
"CP-HI08_EE",-184.733782632168
"CP-HI08_EL",296.285628705685
"CP-HI08_ES",4.01483713310382
"CP-HI08_FI",-289.370774983328
"CP-HI08_FR",-82.4127928750177
"CP-HI08_HR",-261.003310743338
"CP-HI08_HU",-302.866697420215
"CP-HI08_IE",-182.166427634506
"CP-HI08_IT",-130.586110071662
"CP-HI08_LT",-292.610344586307
"CP-HI08_LU",-165.535362278492
"CP-HI08_LV",56.0976263478841
"CP-HI08_MT",-34.1537990643141
"CP-HI08_NL",0.829371173941929
"CP-HI08_PL",-100.640783730937
"CP-HI08_PT",-1.19534762909318
"CP-HI08_RO",32.0593916455747
"CP-HI08_SE",-195.531950465065
"CP-HI08_SI",223.076813791669
"CP-HI08_SK",-90.3831929779599
"CP-HI09_AT",-1.66125865527633
"CP-HI09_BE",-2.04836231758342
"CP-HI09_BG",-4.41295980495695
"CP-HI09_CY",-1.79430650603201
"CP-HI09_CZ",-3.23120806377875
"CP-HI09_DE",5.93388274847801
"CP-HI09_DK",-0.572349086420206
"CP-HI09_EE",-45.1288510046154
"CP-HI09_EL",-1.26215079816788
"CP-HI09_ES",-2.26348668685386
"CP-HI09_FI",-2.81656295032225
"CP-HI09_FR",-0.335695798690407
"CP-HI09_HR",-4.81139077641354
"CP-HI09_HU",-3.82699716205043
"CP-HI09_IE",-274.328990110596
"CP-HI09_IT",-3.28480866143252
"CP-HI09_LT",-3.66419187432898
"CP-HI09_LU",2.07714730495753
"CP-HI09_LV",-2.41769974847043
"CP-HI09_MT",-5.10625515447923
"CP-HI09_NL",-4.35825401244392
"CP-HI09_PL",-5.20436546090972
"CP-HI09_PT",-6.66376609350066
"CP-HI09_RO",-131.239035708297
"CP-HI09_SE",1.14450898695709
"CP-HI09_SI",-4.633721314205
"CP-HI09_SK",-3.42943597773437
"CP-HI10_AT",-1.75432526055897
"CP-HI10_BE",1.06380808483956
"CP-HI10_BG",-1.99970619031994
"CP-HI10_CY",-3.35958790764124
"CP-HI10_CZ",-2.89456758269268
"CP-HI10_DE",-6.1278681809934
"CP-HI10_DK",0.62689952145143
"CP-HI10_EE",-253.77044633665
"CP-HI10_EL",-312.196898325896
"CP-HI10_ES",-0.718841231542542
"CP-HI10_FI",-1.42515719355667
"CP-HI10_FR",-0.837120790743461
"CP-HI10_HR",-2.88044129591458
"CP-HI10_HU",-27.9122945431943
"CP-HI10_IE",5.86136404725467
"CP-HI10_IT",-171.005117171651
"CP-HI10_LT",-0.997767191025763
"CP-HI10_LU",1.14068045671188
"CP-HI10_LV",-4.74742915734893
"CP-HI10_MT",-2.0978843177771
"CP-HI10_NL",-146.494843208618
"CP-HI10_PL",-3.14194470097836
"CP-HI10_PT",-3.40383957310222
"CP-HI10_RO",-1.37099180302835
"CP-HI10_SE",147.848580683263
"CP-HI10_SI",0.0809419648723583
"CP-HI10_SK",-2.4170252311757
"CP-HI11_AT",-1.75452511367669
"CP-HI11_BE",-0.849258484028314
"CP-HI11_BG",-0.989499690388879
"CP-HI11_CY",-4.53086446245514
"CP-HI11_CZ",-68.9381067157789
"CP-HI11_DE",-2.25553590270251
"CP-HI11_DK",1.41606243205737
"CP-HI11_EE",-4.01286848713094
"CP-HI11_EL",0.425192219601013
"CP-HI11_ES",-1.23692502382675
"CP-HI11_FI",-2.58506555111663
"CP-HI11_FR",-0.66167339517522
"CP-HI11_HR",-1.53756689764999
"CP-HI11_HU",-3.21265140601994
"CP-HI11_IE",-0.424853655731748
"CP-HI11_IT",-1.9764579176694
"CP-HI11_LT",-2.50991474114704
"CP-HI11_LU",0.198158228019947
"CP-HI11_LV",-3.87629120769805
"CP-HI11_MT",2.94900656412925
"CP-HI11_NL",2.19020902890546
"CP-HI11_PL",-2.83577288823089
"CP-HI11_PT",0.860593280829682
"CP-HI11_RO",-74.6856419768039
"CP-HI11_SE",-2.07747953092603
"CP-HI11_SI",-2.52094064825766
"CP-HI11_SK",-65.4653364720201
"CP-HI12_AT",-2.2082371925332
"CP-HI12_BE",-2.05688218472405
"CP-HI12_BG",-54.1508855364578
"CP-HI12_CY",-6.0397455504491
"CP-HI12_CZ",-2.96934573945198
"CP-HI12_DE",-19.2165690278267
"CP-HI12_DK",-2.29498203121917
"CP-HI12_EE",-4.46533322515758
"CP-HI12_EL",-5.019680679281
"CP-HI12_ES",-1.32765286753955
"CP-HI12_FI",-42.7773046460287
"CP-HI12_FR",-1.48667451345148
"CP-HI12_HR",-130.884142449075
"CP-HI12_HU",-68.1247256399033
"CP-HI12_IE",-0.0163920359637864
"CP-HI12_IT",-0.739465196541857
"CP-HI12_LT",-2.94719705321086
"CP-HI12_LU",0.554062892835932
"CP-HI12_LV",-4.38435087206788
"CP-HI12_MT",12.8506188644915
"CP-HI12_NL",-1.14255137677224
"CP-HI12_PL",-38.0352528262652
"CP-HI12_PT",-0.703973106245773
"CP-HI12_RO",-68.052314530418
"CP-HI12_SE",11.6001686181342
"CP-HI12_SI",-21.102817958124
"CP-HI12_SK",-39.7417687660793
