"","loadingscomp2lag0"
"CP-HI01_AT",-17.8270042785201
"CP-HI01_BE",-11.8016299719267
"CP-HI01_BG",-4.06451519462813
"CP-HI01_CY",-9.6316538732651
"CP-HI01_CZ",-10.9651937615134
"CP-HI01_DE",-21.3652881780268
"CP-HI01_DK",-7.42611528328772
"CP-HI01_EE",-8.62596051757811
"CP-HI01_EL",-4.89059792743448
"CP-HI01_ES",-3.58242965723494
"CP-HI01_FI",-30.0353928868745
"CP-HI01_FR",-12.9401434047023
"CP-HI01_HR",-4.80140005715227
"CP-HI01_HU",-13.826751146172
"CP-HI01_IE",-48.3244360356545
"CP-HI01_IT",-7.54099453874456
"CP-HI01_LT",-6.57158264008589
"CP-HI01_LU",-7.2987434744573
"CP-HI01_LV",-6.62812147868047
"CP-HI01_MT",0.872581522278426
"CP-HI01_NL",-11.1699151834177
"CP-HI01_PL",-9.05494301733781
"CP-HI01_PT",-7.29348546464028
"CP-HI01_RO",-9.39021612788141
"CP-HI01_SE",-9.32674353881425
"CP-HI01_SI",-8.91474998795602
"CP-HI01_SK",-8.9872256473383
"CP-HI02_AT",-0.617816836503712
"CP-HI02_BE",-0.968596740542118
"CP-HI02_BG",8.39430774583211
"CP-HI02_CY",-11.8780723980343
"CP-HI02_CZ",-0.65598150075958
"CP-HI02_DE",-4.20045532321695
"CP-HI02_DK",0.457090407762653
"CP-HI02_EE",-2.13834308523607
"CP-HI02_EL",-2.77430002077069
"CP-HI02_ES",-4.28140133667457
"CP-HI02_FI",0.308139509182882
"CP-HI02_FR",-1.79200505521566
"CP-HI02_HR",1.6140608021086
"CP-HI02_HU",-5.53487880907572
"CP-HI02_IE",-0.269473191407001
"CP-HI02_IT",-4.58292261082107
"CP-HI02_LT",-2.16479451499453
"CP-HI02_LU",1.83117917406149
"CP-HI02_LV",-3.07050404192157
"CP-HI02_MT",-29.6770805566241
"CP-HI02_NL",0.365548445090578
"CP-HI02_PL",-5.16364323141713
"CP-HI02_PT",-2.06664512796983
"CP-HI02_RO",-1.24207280608128
"CP-HI02_SE",-2.72820656565681
"CP-HI02_SI",-1.12030723349608
"CP-HI02_SK",0.940055686150461
"CP-HI03_AT",-2.13120746175546
"CP-HI03_BE",-6.33594042134162
"CP-HI03_BG",-9.70897465914769
"CP-HI03_CY",0.196521033689155
"CP-HI03_CZ",-2.16333924628248
"CP-HI03_DE",-3.58981302425006
"CP-HI03_DK",0.706388561452103
"CP-HI03_EE",-7.79967828964949
"CP-HI03_EL",-6.70282646728799
"CP-HI03_ES",1.46479979043429
"CP-HI03_FI",6.51840486955205
"CP-HI03_FR",-0.419247379535893
"CP-HI03_HR",-3.83748179151034
"CP-HI03_HU",-6.36633357484981
"CP-HI03_IE",-1.57237129431591
"CP-HI03_IT",-2.23376198361284
"CP-HI03_LT",-4.51131545954717
"CP-HI03_LU",-4.88431940499634
"CP-HI03_LV",2.08604627082431
"CP-HI03_MT",2.20615168229075
"CP-HI03_NL",-8.79121960855576
"CP-HI03_PL",-3.30906472198588
"CP-HI03_PT",-1.48019693655328
"CP-HI03_RO",-2.33124928064495
"CP-HI03_SE",-3.13321055611616
"CP-HI03_SI",-3.31105561903853
"CP-HI03_SK",-7.88746037853752
"CP-HI04_AT",-17.6473446931804
"CP-HI04_BE",79.0497977577193
"CP-HI04_BG",4.769347938812
"CP-HI04_CY",60.5116010158708
"CP-HI04_CZ",-4.99826863972186
"CP-HI04_DE",2.3758471291769
"CP-HI04_DK",20.6655605836937
"CP-HI04_EE",24.1249096361969
"CP-HI04_EL",139.063121799359
"CP-HI04_ES",154.960653919566
"CP-HI04_FI",-14.5633409933767
"CP-HI04_FR",5.12283594561089
"CP-HI04_HR",20.5066046398471
"CP-HI04_HU",-48.8208566749823
"CP-HI04_IE",-9.02305842686095
"CP-HI04_IT",-38.4285639424416
"CP-HI04_LT",-19.2669257896705
"CP-HI04_LU",58.7603517659368
"CP-HI04_LV",-35.9922376970086
"CP-HI04_MT",14.2482826440846
"CP-HI04_NL",39.1646816295783
"CP-HI04_PL",-10.317844133556
"CP-HI04_PT",27.5048878950494
"CP-HI04_RO",10.3627810325238
"CP-HI04_SE",27.5135934240034
"CP-HI04_SI",24.6823494989566
"CP-HI04_SK",-18.5612697656376
"CP-HI05_AT",-4.14821996869599
"CP-HI05_BE",-5.68283078593683
"CP-HI05_BG",-5.58316665770395
"CP-HI05_CY",-11.9709571339145
"CP-HI05_CZ",-11.8282432864751
"CP-HI05_DE",-16.0500936282661
"CP-HI05_DK",-90.0886710955082
"CP-HI05_EE",-7.6529766573845
"CP-HI05_EL",-12.2302702089314
"CP-HI05_ES",-5.64963584351447
"CP-HI05_FI",-13.7605541947793
"CP-HI05_FR",-11.365087568293
"CP-HI05_HR",-17.7731381101212
"CP-HI05_HU",-23.3898218459642
"CP-HI05_IE",-1.64255586242631
"CP-HI05_IT",-10.5824564976252
"CP-HI05_LT",-5.40009433073548
"CP-HI05_LU",-6.76944605451544
"CP-HI05_LV",-4.99281187452369
"CP-HI05_MT",-1.42521274152225
"CP-HI05_NL",-10.5882089254879
"CP-HI05_PL",-11.6785381884191
"CP-HI05_PT",-51.9239694047056
"CP-HI05_RO",1.86305971384408
"CP-HI05_SE",-8.43159979272795
"CP-HI05_SI",-4.32400489129221
"CP-HI05_SK",-17.7182157579456
"CP-HI06_AT",-1.07081461047505
"CP-HI06_BE",-4.47702356378442
"CP-HI06_BG",-15.8313696415498
"CP-HI06_CY",8.97232498894173
"CP-HI06_CZ",28.5460355614273
"CP-HI06_DE",-2.1091897683321
"CP-HI06_DK",-1.65388091185092
"CP-HI06_EE",-1.24811736720528
"CP-HI06_EL",-50.0416219015291
"CP-HI06_ES",18.8538835707004
"CP-HI06_FI",-1.71023954989565
"CP-HI06_FR",4.75977989597893
"CP-HI06_HR",-29.7730969886957
"CP-HI06_HU",-0.201545469656305
"CP-HI06_IE",14.8002504459512
"CP-HI06_IT",-4.16684142438588
"CP-HI06_LT",4.65774562994971
"CP-HI06_LU",5.00486548576273
"CP-HI06_LV",-2.61418829074952
"CP-HI06_MT",-1.05058720409434
"CP-HI06_NL",-1.56153100966782
"CP-HI06_PL",-4.21955044758194
"CP-HI06_PT",39.3226001490363
"CP-HI06_RO",47.243471760138
