,MMM,ABT,ACN,ATVI,ADBE,AAP,AES,AET,AMG,AFL,A,GAS,APD,ARG,AKAM,AA,ALXN,AGN,ADS,ALL,GOOGL,GOOG,MO,AMZN,AEE,AAL,AEP,AXP,AIG,AMT,AMP,ABC,AME,AMGN,APH,APC,ADI,ANTM,AON,APA,AIV,AAPL,AMAT,ADM,AIZ,T,ADSK,ADP,AN,AZO
lag 0,0.204415361,0.135540531,0.068498517,0.209956743,0.170602958,0.046882954,0.259574639,0.09402913,0.144697474,0.200656394,0.115407937,0.171577113,0.129255271,0.095903779,0.073604733,0.129917201,0.032659832,0.047140523,0.092033516,0.229213808,0.185885684,0.185885627,0.050126522,0.07574021,0.111550268,0.116834514,0.126110035,0.213365348,0.112544602,0.11670745,0.124182604,0.071943478,0.073471668,0.269145776,0.185409897,0.125873374,0.139928728,0.099626673,0.098770301,0.160496599,0.162010791,0.072698053,0.177817943,0.131946557,0.201565535,0.093403866,0.130229893,0.106248054,0.059296628,0.026178453
lag 1,0.011602985,0.025829319,0.01170379,0.033394529,0.013195118,-0.010890101,0.029993517,0.015851385,0.014517244,0.004109788,0.016709583,0.015683046,0.015382763,-0.028998968,0.00162636,0.005766454,0.004260474,0.001670253,0.016421579,-0.014296313,0.026639594,0.026639648,0.005881932,0.005380111,0.01432841,-0.011914632,0.003707446,0.009397712,0.00654938,0.001352948,-0.001921329,0.012658755,-0.000403667,-0.027178296,0.012399656,0.007273118,-0.002531999,0.017836313,-0.000726763,0.001277479,0.000438703,0.012067129,0.008502509,0.018891813,0.004603739,-0.000248076,0.007039529,0.001574908,0.002975163,-0.006298382
